title,url,release_date,critic_score,audience_score,average_rating,release_date_clean,release_date_parsed
The Blackening,https://www.rottentomatoes.com/m/the_blackening,"Released Jun 16, 2023",87.0,85.0,86.0,"Jun 16, 2023",2023-06-16
World's Best,https://www.rottentomatoes.com/m/worlds_best,2023,100.0,81.0,90.5,2023,2023-01-01
Earth Mama,https://www.rottentomatoes.com/m/earth_mama,"Released Jul 7, 2023",97.0,74.0,85.5,"Jul 7, 2023",2023-07-07
Mission: Impossible - Dead Reckoning Part One,https://www.rottentomatoes.com/m/mission_impossible_dead_reckoning_part_one,"Released Jul 12, 2023",96.0,94.0,95.0,"Jul 12, 2023",2023-07-12
They Cloned Tyrone,https://www.rottentomatoes.com/m/they_cloned_tyrone,"Released Jul 14, 2023",95.0,100.0,97.5,"Jul 14, 2023",2023-07-14
Barbie,https://www.rottentomatoes.com/m/barbie,"Released Jul 21, 2023",88.0,83.0,85.5,"Jul 21, 2023",2023-07-21
The Venture Bros.: Radiant Is the Blood of the Baboon Heart,https://www.rottentomatoes.com/m/the_venture_bros_radiant_is_the_blood_of_the_baboon_heart,2023,92.0,,92.0,2023,2023-01-01
The Venture Bros.: Radiant Is the Blood of the Baboon Heart,https://www.rottentomatoes.com/m/venture_bros_radiant_is_the_blood_of_the_baboon_heart,2023,92.0,,92.0,2023,2023-01-01
War Pony,https://www.rottentomatoes.com/m/war_pony,"Released Jul 28, 2023",93.0,87.0,90.0,"Jul 28, 2023",2023-07-28
Blue Hour: The Disappearance of Nick Brandreth,https://www.rottentomatoes.com/m/blue_hour_the_disappearance_of_nick_brandreth,2023,,88.0,88.0,2023,2023-01-01
Teenage Mutant Ninja Turtles: Mutant Mayhem,https://www.rottentomatoes.com/m/teenage_mutant_ninja_turtles_mutant_mayhem,"Released Aug 2, 2023",95.0,90.0,92.5,"Aug 2, 2023",2023-08-02
Jules,https://www.rottentomatoes.com/m/jules,"Released Aug 11, 2023",85.0,90.0,87.5,"Aug 11, 2023",2023-08-11
Bottoms,https://www.rottentomatoes.com/m/bottoms,"Released Sep 1, 2023",90.0,89.0,89.5,"Sep 1, 2023",2023-09-01
