title,url,release_date,critic_score,audience_score
Babette's Feast,https://www.rottentomatoes.com/m/babettes_feast,"Released Mar 4, 1987",97.0,91.0
The Tracker,https://www.rottentomatoes.com/m/the_tracker,"Released Jan 16, 2004",88.0,86.0
Wings of Desire,https://www.rottentomatoes.com/m/wings_of_desire,"Released Jan 1, 1987",95.0,93.0
Who Framed Roger Rabbit,https://www.rottentomatoes.com/m/who_framed_roger_rabbit,"Released Jun 21, 1988",96.0,85.0
Die Hard,https://www.rottentomatoes.com/m/die_hard,"Released Jul 15, 1988",94.0,94.0
Midnight Run,https://www.rottentomatoes.com/m/midnight_run,"Released Jul 11, 1988",95.0,87.0
The Thin Blue Line,https://www.rottentomatoes.com/m/thin_blue_line,"Released Aug 25, 1988",100.0,90.0
Imagine: John Lennon,https://www.rottentomatoes.com/m/imagine_john_lennon,1988,91.0,91.0
Rain Man,https://www.rottentomatoes.com/m/rain_man,"Released Dec 14, 1988",88.0,90.0
Lawrence of Arabia,https://www.rottentomatoes.com/m/lawrence_of_arabia,In Theaters Sun Aug 11,93.0,93.0
Pepper's Pow Wow,https://www.rottentomatoes.com/m/powwow_highway,1996,100.0,85.0
Say Anything...,https://www.rottentomatoes.com/m/say_anything,"Released Apr 14, 1989",98.0,85.0
Field of Dreams,https://www.rottentomatoes.com/m/field_of_dreams,"Released Apr 21, 1989",88.0,86.0
Do the Right Thing,https://www.rottentomatoes.com/m/do_the_right_thing,"Released Jun 30, 1989",92.0,89.0
When Harry Met Sally...,https://www.rottentomatoes.com/m/when_harry_met_sally,"Released Jul 12, 1989",89.0,89.0
Crimes and Misdemeanors,https://www.rottentomatoes.com/m/crimes_and_misdemeanors,"Released Oct 13, 1989",92.0,91.0
Drugstore Cowboy,https://www.rottentomatoes.com/m/drugstore_cowboy,"Released Oct 6, 1989",97.0,85.0
My Left Foot,https://www.rottentomatoes.com/m/my_left_foot,"Released Nov 10, 1989",98.0,92.0
Camille Claudel,https://www.rottentomatoes.com/m/camille_claudel,"Released Dec 21, 1989",92.0,88.0
